State,"Population estimates, July 1, 2023, (V2023)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","Female persons, percent","Veterans per capita, 2018-2022","Foreign born persons, percent, 2018-2022","Housing units per capita, July 1, 2022, (V2022)","Owner-occupied housing unit rate, 2018-2022","Median value of owner-occupied housing units, 2018-2022","Persons per household, 2018-2022","Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","Households with a computer, percent, 2018-2022","Households with a broadband Internet subscription, percent, 2018-2022","High school graduate or higher, percent of persons age 25 years+, 2018-2022","Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","In civilian labor force, total, percent of population age 16 years+, 2018-2022","Total retail sales per capita, 2017 ($1,000)","Mean travel time to work (minutes), workers age 16 years+, 2018-2022","Median household income (in 2022 dollars), 2018-2022","Per capita income in past 12 months (in 2022 dollars), 2018-2022","Persons in poverty, percent","Total employer establishments per capita, 2021","Total employment percentage, 2021","Total employment, percent change, 2020-2021","All employer firms per capita, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",Political Affiliation,Charging Stations,Total Chargers Chargers,Auto sales per capita 2023,Number of Evs per capita 2018,Number of Evs per capita 2019,Number of Evs per capita 2020,Number of EVs per capita 2021,Number of Evs per capita 2022
Kentucky,4526154,0.004,0.503,0.054064223,0.041,0.447117796,0.681,177000,2.48,0.866,0.916,0.856,0.882,0.265,0.592,14.20505489,23.9,60183,33515,0.165,0.02035503,0.357265793,-0.03,0.014104469,114.1,109.9,39491.61,39486.34,Red,328,849,0.032233989,0.000265126,0.000419782,0.000574439,0.00092794,0.00167913
Louisiana,4573749,-0.018,0.51,0.049928188,0.042,0.462031476,0.672,198300,2.56,0.879,0.91,0.83,0.867,0.261,0.587,14.21171538,26,57852,32981,0.186,0.023495824,0.348218715,-0.065,0.016988033,107.8,104.9,43210.23,43203.9,Red,265,709,0.046881016,0.000196775,0.000306095,0.000437278,0.000699645,0.00128997
Maine,1395722,0.024,0.507,0.072084556,0.038,0.538633052,0.735,244800,2.29,0.881,0.929,0.873,0.941,0.341,0.62,17.10845928,24.4,68251,39718,0.108,0.030463803,0.361612126,-0.031,0.023611436,44.2,43.1,30845.1,30842.92,Blue,486,1084,0.044905791,0.00057318,0.000931418,0.001361303,0.002149425,0.003582375
Maryland,6180253,0,0.513,0.055839785,0.157,0.414092271,0.675,380500,2.6,0.877,0.953,0.906,0.91,0.422,0.666,13.7480108,32,98461,49865,0.096,0.022849712,0.369405427,-0.051,0.016913385,636.1,594.8,9711.2,9707.24,Blue,1726,5022,0.035008437,0.001359168,0.002135835,0.002912502,0.004142225,0.007459242
Massachusetts,7001399,-0.004,0.51,0.038035827,0.176,0.433675327,0.624,483900,2.46,0.878,0.943,0.907,0.912,0.459,0.67,15.73892903,29.4,96505,53513,0.104,0.025721716,0.453561924,-0.063,0.019828751,901.2,839.4,7800.96,7800.06,Blue,2965,7032,0.047945275,0.001471135,0.002013883,0.002999401,0.004356272,0.007055733
Michigan,10037261,-0.004,0.503,0.049693637,0.069,0.459454028,0.725,201100,2.45,0.878,0.934,0.878,0.918,0.311,0.614,14.29045773,24.5,68505,37929,0.134,0.022384194,0.375433198,-0.058,0.016484577,178,174.8,56608.22,56538.9,Blue,1447,3352,0.055016104,0.000418441,0.00065755,0.001056065,0.001743504,0.003297712
Minnesota,5737915,0.005,0.498,0.04811347,0.085,0.444055898,0.723,286800,2.46,0.869,0.945,0.897,0.937,0.382,0.686,16.03258954,23.3,84313,44947,0.096,0.026636156,0.457904308,-0.04,0.02006722,71.7,66.6,79626.68,79626.74,Blue,773,1995,0.041805429,0.000853969,0.001341951,0.001812505,0.00261419,0.004234988
Mississippi,2939690,-0.007,0.514,0.052924968,0.023,0.456793403,0.692,151000,2.55,0.883,0.9,0.8,0.862,0.239,0.567,12.5593617,25.4,52985,29209,0.191,0.020343982,0.316649715,-0.02,0.014037194,63.1,63.2,46923.96,46923.27,Red,163,551,0.038299617,0.000102052,0.000170086,0.000272138,0.000442223,0.000816413
Missouri,6196156,0.007,0.506,0.058277584,0.042,0.456171213,0.676,199400,2.44,0.864,0.93,0.866,0.913,0.312,0.625,16.20262111,23.8,65920,36754,0.132,0.024577496,0.399948613,-0.035,0.018746462,89.5,87.1,68746.48,68741.52,Red,1240,2703,0.049538133,0.000564866,0.000790813,0.001081316,0.001613904,0.002888888
Montana,1132812,0.045,0.493,0.072710211,0.023,0.467113696,0.69,305700,2.39,0.852,0.929,0.866,0.945,0.34,0.626,14.95025388,18.8,66341,37837,0.121,0.035942416,0.335685003,0.007,0.028081447,7.4,6.8,145550.36,145545.8,Red,126,347,0.056952963,0.00044138,0.000617931,0.000794483,0.001412414,0.002913105
Nebraska,1978379,0.008,0.497,0.055591977,0.075,0.436677199,0.665,205600,2.46,0.858,0.937,0.884,0.919,0.335,0.684,15.77791566,19.1,71722,38585,0.112,0.028074499,0.430545917,-0.017,0.021908846,25.5,23.8,76817.87,76824.17,Red,260,554,0.041883785,0.000454918,0.000657104,0.000909836,0.001364754,0.002325136
Nevada,3194176,0.029,0.495,0.063590109,0.191,0.415983653,0.584,373800,2.64,0.845,0.953,0.887,0.871,0.265,0.628,14.12278566,24.7,71646,37945,0.125,0.023012195,0.362487853,-0.093,0.016094292,28.3,24.6,109860.46,109781.18,Blue,596,1987,0.046103596,0.001596656,0.002473251,0.003443768,0.005447414,0.010299996
