Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
3833,1568,2265,12118,15951,1,3,1,1,2,0,0,0,2,3,1,3,1,1,2,2,3,23,16,1,3,11,2,6,20,2,4,15,22,22,21,5.000327489,5.117398649,5.000327489,5.000327489,5.000327489,0,0,0,0.757359375,0.30294375,0.6058875,0.450902778,0.811625,0.541083333,1.572916667,0.94375,0.419444444,5.000327489,5.117398649,0.871111111,0.871111111,0.871111111,0.28,0.28,0.28,0.261333333,0.261333333,0.261333333,0.080991736,0.048595041,0.033939394,57.12606208,65
15548,13044,2504,5156,20704,3,3,2,3,2,0,0,0,1,1,1,2,1,1,2,2,1,23,15,2,6,22,2,4,14,1,3,11,23,22,20,6.478333333,2.388242725,6.478333333,6.478333333,6.478333333,0,0,0,1.67455,1.00473,0.66982,0.747722222,0.897266667,0.598177778,1.738888889,1.043333333,1.391111111,6.478333333,2.388242725,3.623333333,3.623333333,3.623333333,3.32755102,3.32755102,3.32755102,2.898666667,2.898666667,2.898666667,0.644466403,0.404256198,0.296454545,39.93477512,65
9101,4974,4127,1619,10720,2,4,2,2,3,0,0,0,2,2,1,2,1,1,2,4,1,13,23,1,3,11,1,3,11,2,6,21,22,22,21,5.908759124,0.481845238,5.908759124,5.908759124,5.908759124,0,0,0,1.379965625,0.827979375,1.1039725,1.232368056,1.478841667,0.985894444,2.865972222,0.859791667,2.292777778,5.908759124,0.481845238,2.763333333,2.763333333,2.763333333,1.658,1.658,1.658,0.563945578,0.563945578,0.563945578,0.256921488,0.154152893,0.107662338,41.40679381,65
9140,3153,5987,1789,10929,2,3,2,2,4,0,0,0,1,2,2,3,2,2,7,1,5,14,13,2,6,21,1,3,10,1,2,7,22,22,21,5.7125,0.956617063,5.7125,5.7125,5.7125,0,0,0,4.00380625,1.201141875,0.80076125,1.191856481,1.072670833,0.715113889,1.187896825,4.989166667,0.665222222,5.7125,0.956617063,0.893707483,0.893707483,0.893707483,1.126071429,1.126071429,1.126071429,1.07244898,1.07244898,1.07244898,0.16286157,0.097716942,0.068246753,44.83359466,65
6898,5792,1106,7156,14054,2,3,2,2,1,0,0,0,2,2,1,3,1,1,3,2,2,21,17,2,6,21,1,3,10,1,3,10,22,22,21,5,2.892857143,5,5,5,0,0,0,0.36981875,0.22189125,0.295855,0.220175926,0.396316667,0.264211111,0.512037037,0.460833333,0.307222222,5,2.892857143,1.641723356,1.641723356,1.641723356,2.068571429,2.068571429,2.068571429,1.379047619,1.379047619,1.379047619,0.299173554,0.179504132,0.125367965,44.93398049,65
3748,2503,1245,9017,12765,1,5,1,1,1,0,0,0,1,1,1,2,1,1,1,1,1,18,28,3,7,25,1,3,10,1,3,11,22,22,21,5,2.189285714,5,5,5,0,0,0,0.83259375,0.49955625,0.3330375,0.371770833,0.446125,0.297416667,1.729166667,1.0375,0.691666667,5,2.189285714,0.595952381,0.595952381,0.595952381,0.893928571,0.893928571,0.893928571,0.556222222,0.556222222,0.556222222,0.12928719,0.077572314,0.054177489,54.02892492,65
8475,7621,854,10615,19090,2,3,2,2,1,0,0,0,2,1,1,2,1,1,2,2,1,25,17,2,6,21,2,4,14,1,3,10,19,14,16,5.296875,4.308965774,5.296875,5.296875,5.296875,0,0,0,0.28555625,0.3426675,0.228445,0.255013889,0.306016667,0.204011111,0.593055556,0.355833333,0.474444444,5.296875,4.308965774,2.160147392,2.160147392,2.160147392,1.944132653,1.944132653,1.944132653,1.81452381,1.81452381,1.81452381,0.455801435,0.371152597,0.216505682,47.19820507,65
8550,294,8256,7907,16457,2,3,2,2,5,0,0,0,1,1,1,2,1,1,3,2,2,20,17,4,5,18,2,4,16,1,3,12,32,17,16,6.045473853,3.142686804,6.045473853,6.045473853,6.045473853,0,0,0,5.5212,3.31272,2.20848,2.465333333,2.9584,1.972266667,3.822222222,3.44,2.293333333,6.045473853,3.142686804,0.098,0.098,0.098,0.0735,0.0735,0.0735,0.065333333,0.065333333,0.065333333,0.010440341,0.011791444,0.008352273,54.84258906,65
5978,3497,2481,3010,8988,2,4,1,2,2,0,0,0,1,1,7,2,1,2,1,1,3,16,19,1,3,10,1,3,10,1,3,10,20,13,26,5.009172785,1.070412518,5.009172785,5.009172785,5.009172785,0,0,0,1.65916875,0.99550125,0.094809643,0.740854167,0.889025,0.296341667,3.445833333,2.0675,0.459444444,5.009172785,1.070412518,2.081547619,2.081547619,2.081547619,1.248928571,1.248928571,1.248928571,0.832619048,0.832619048,0.832619048,0.198693182,0.183409091,0.061136364,40.99711415,65
5199,3107,2092,2561,7760,1,3,1,1,2,0,0,0,8,4,1,3,5,3,2,1,7,9,14,2,6,22,1,3,11,1,3,8,22,22,21,6.49875,1.307486607,6.49875,6.49875,6.49875,0,0,0,0.174878125,0.20985375,0.55961,0.416462963,0.149926667,0.166585185,1.452777778,1.743333333,0.166031746,6.49875,1.307486607,0.863055556,0.863055556,0.863055556,1.035666667,1.035666667,1.035666667,0.924702381,0.924702381,0.924702381,0.160485537,0.096291322,0.067251082,42.19634818,65
7974,5547,2427,2554,10528,2,3,2,2,2,0,0,0,2,2,1,3,1,1,1,5,6,15,16,1,3,11,2,6,21,1,3,11,23,16,16,5,1.130952381,5,5,5,0,0,0,0.811528125,0.486916875,0.6492225,0.483152778,0.869675,0.579783333,3.370833333,0.4045,0.224722222,5,1.130952381,3.081666667,3.081666667,3.081666667,0.943367347,0.943367347,0.943367347,1.232666667,1.232666667,1.232666667,0.274061265,0.236377841,0.157585227,41.43996603,65
5325,479,4846,12464,17789,1,3,1,2,3,0,0,0,2,2,2,3,2,1,3,2,2,19,17,2,5,17,2,4,14,2,4,15,22,22,21,6.454545455,5.089357864,6.454545455,6.454545455,6.454545455,0,0,0,1.62038125,0.97222875,0.6481525,0.964712963,0.868241667,1.157655556,2.243518519,2.019166667,1.346111111,6.454545455,5.089357864,0.167717087,0.167717087,0.167717087,0.122193878,0.122193878,0.122193878,0.079833333,0.079833333,0.079833333,0.024741736,0.014845041,0.010367965,58.40684289,65
3416,384,3032,7010,10426,1,3,1,1,3,0,0,0,1,2,2,2,2,2,3,8,2,15,17,2,5,16,2,4,15,2,4,15,22,22,21,5.033078619,2.786168521,5.033078619,5.033078619,5.033078619,0,0,0,2.02765,0.608295,0.40553,0.905388889,0.543233333,0.362155556,1.403703704,0.315833333,0.842222222,5.033078619,2.786168521,0.142857143,0.142857143,0.142857143,0.096,0.096,0.096,0.064,0.064,0.064,0.019834711,0.011900826,0.008311688,56.34593201,65
14397,5422,8975,3141,17538,3,3,2,3,6,0,0,0,2,1,1,2,1,1,2,1,2,21,14,1,3,11,1,3,10,3,8,25,13,13,35,6.034968618,1.515926641,6.034968618,6.034968618,6.034968618,0,0,0,3.001015625,3.60121875,2.4008125,2.680034722,3.216041667,2.144027778,6.232638889,7.479166667,2.493055555,6.034968618,1.515926641,3.012222222,3.012222222,3.012222222,1.936428571,1.936428571,1.936428571,0.516380952,0.516380952,0.516380952,0.473951049,0.284370629,0.070415584,45.21790765,65
8291,1421,6870,7437,15728,2,3,2,2,5,0,0,0,1,1,1,2,1,1,2,3,1,21,17,1,2,5,1,2,5,2,4,15,12,12,21,5.181875,2.998084821,5.181875,5.181875,5.181875,0,0,0,4.5943125,2.7565875,1.837725,2.051458333,2.46175,1.641166667,4.770833333,1.908333333,3.816666667,5.181875,2.998084821,1.691666667,1.691666667,1.691666667,1.015,1.015,1.015,0.236833333,0.236833333,0.236833333,0.134564394,0.080738636,0.030757576,53.8416491,65
13357,5117,8240,638,13995,3,3,2,3,5,0,0,0,2,2,2,3,2,1,4,2,2,18,10,2,5,18,2,4,14,2,4,14,22,22,21,5.858679426,0.439400957,5.858679426,5.858679426,5.858679426,0,0,0,2.75525,1.65315,1.1021,1.64037037,1.476333333,1.968444444,2.861111111,3.433333333,2.288888889,5.858679426,0.439400957,1.705666667,1.705666667,1.705666667,1.305357143,1.305357143,1.305357143,0.870238095,0.870238095,0.870238095,0.264307851,0.158584711,0.110757576,42.55526144,65
12122,4585,7537,2658,14780,3,3,2,3,6,0,0,0,2,1,1,2,1,1,2,1,1,21,15,3,9,32,1,2,7,1,2,7,16,12,32,5.050833333,1.26872123,5.050833333,5.050833333,5.050833333,0,0,0,2.520184375,3.02422125,2.0161475,2.250631944,2.700758333,1.800505556,5.234027778,6.280833333,4.187222222,5.050833333,1.26872123,0.852864583,0.852864583,0.852864583,2.339285714,2.339285714,2.339285714,1.55952381,1.55952381,1.55952381,0.325639205,0.260511364,0.065127841,45.25827455,65
19095,12600,6495,2312,21407,4,3,3,4,4,0,0,0,1,1,1,2,1,1,2,1,1,28,8,2,6,21,2,4,14,1,3,11,22,22,20,5.9671875,1.998534226,5.9671875,5.9671875,5.9671875,0,0,0,4.34353125,2.60611875,1.7374125,1.939479167,2.327375,1.551583333,4.510416667,5.4125,3.608333333,5.9671875,1.998534226,3.571428571,3.571428571,3.571428571,3.214285714,3.214285714,3.214285714,2.8,2.8,2.8,0.650826446,0.390495868,0.286363636,38.81222014,65
400,222,178,10777,11177,1,4,1,1,1,0,0,0,2,2,1,2,1,1,1,2,2,20,23,2,5,16,2,4,14,2,4,15,22,22,21,5.047775176,3.207440476,5.047775176,5.047775176,5.047775176,0,0,0,0.05951875,0.03571125,0.047615,0.053152778,0.063783333,0.042522222,0.247222222,0.074166667,0.049444444,5.047775176,3.207440476,0.082589286,0.082589286,0.082589286,0.056632653,0.056632653,0.056632653,0.037,0.037,0.037,0.011466942,0.006880165,0.004805195,52.47260676,65
8591,3818,4773,8786,17377,2,3,2,2,4,0,0,0,2,1,1,2,1,1,2,2,1,22,17,2,6,21,2,4,15,1,3,11,22,22,21,5.479432256,3.492050874,5.479432256,5.479432256,5.479432256,0,0,0,1.595971875,1.91516625,1.2767775,1.425270833,1.710325,1.140216667,3.314583333,1.98875,2.651666667,5.479432256,3.492050874,1.082199546,1.082199546,1.082199546,0.9545,0.9545,0.9545,0.848444444,0.848444444,0.848444444,0.197210744,0.118326446,0.082640693,50.60892935,65
6613,3250,3363,12619,19232,2,3,1,2,3,0,0,0,1,1,1,2,1,1,1,1,1,27,17,2,5,18,2,4,15,1,2,7,15,15,18,5.465289256,5.087924046,5.465289256,5.465289256,5.465289256,0,0,0,2.24900625,1.34940375,0.8996025,1.004229167,1.205075,0.803383333,4.670833333,2.8025,1.868333333,5.465289256,5.087924046,1.083333333,1.083333333,1.083333333,0.8125,0.8125,0.8125,1.105442177,1.105442177,1.105442177,0.246212121,0.147727273,0.082070707,51.49311568,65
5285,4054,1231,8642,13927,1,4,1,2,1,0,0,0,1,3,2,2,2,1,3,1,3,15,22,2,5,18,2,5,18,1,3,11,28,19,18,6.406060606,2.659659091,6.406060606,6.406060606,6.406060606,0,0,0,0.82323125,0.164646231,0.16464625,0.367590278,0.220554167,0.294072222,0.569907407,1.025833333,0.227962963,6.406060606,2.659659091,1.351333333,1.351333333,1.351333333,0.8108,0.8108,0.8108,0.900888889,0.900888889,0.900888889,0.164529221,0.145478469,0.102373737,49.63488945,65
