Distribution_Center,SKU_Code,Product_Offering,Generation,ASP Group,Week,Forecasted,Unconstrained_Demand
H,Prod_A_2,A,2,1,44,3519,414
H,Prod_A_2,A,2,1,46,551,497
H,Prod_A_2,A,2,1,47,5796,1946
H,Prod_A_2,A,2,1,48,3449,1242
H,Prod_A_2,A,2,1,51,604,373
H,Prod_A_2,A,2,1,52,6674,166
H,Prod_A_2,A,2,1,54,704,248
H,Prod_A_2,A,2,1,57,368,166
H,Prod_A_2,A,2,1,58,513,166
H,Prod_A_2,A,2,1,61,621,124
H,Prod_A_2,A,2,1,63,522,124
H,Prod_A_2,A,2,1,64,629,373
H,Prod_A_2,A,2,1,65,83,41
H,Prod_A_2,A,2,1,66,190,41
H,Prod_A_2,A,2,1,67,315,704
H,Prod_A_2,A,2,1,68,253,83
H,Prod_A_2,A,2,1,70,83,41
H,Prod_A_2,A,2,1,71,273,83
H,Prod_A_2,A,2,1,73,712,166
H,Prod_A_2,A,2,1,74,166,207
H,Prod_A_2,A,2,1,76,273,8
H,Prod_A_2,A,2,1,77,696,124
H,Prod_A_2,A,2,1,78,381,290
H,Prod_A_2,A,2,1,80,153,83
H,Prod_A_2,A,2,1,82,211,41
H,Prod_A_2,A,2,1,84,315,166
H,Prod_A_2,A,2,1,85,141,41
H,Prod_A_2,A,2,1,86,273,207
H,Prod_A_2,A,2,1,87,120,41
H,Prod_A_2,A,2,1,88,108,41
H,Prod_A_2,A,2,1,89,91,41
H,Prod_A_2,A,2,1,90,166,124
H,Prod_A_2,A,2,1,91,83,41
H,Prod_A_2,A,2,1,93,75,41
H,Prod_A_2,A,2,1,96,33,41
H,Prod_A_2,A,2,1,100,12,41
H,Prod_A_2,A,2,1,103,8,290
I,Prod_A_2,A,2,1,1,1242,2567
I,Prod_A_2,A,2,1,2,828,1532
I,Prod_A_2,A,2,1,3,2070,1532
I,Prod_A_2,A,2,1,5,1242,1201
I,Prod_A_2,A,2,1,6,1656,2360
I,Prod_A_2,A,2,1,7,3312,1532
I,Prod_A_2,A,2,1,9,828,1532
I,Prod_A_2,A,2,1,10,2484,2484
I,Prod_A_2,A,2,1,11,4968,2318
I,Prod_A_2,A,2,1,12,2443,5010
I,Prod_A_2,A,2,1,13,414,124
I,Prod_A_2,A,2,1,14,828,124
I,Prod_A_2,A,2,1,15,1656,1076
I,Prod_A_2,A,2,1,16,2898,1242
I,Prod_A_2,A,2,1,17,828,1532
I,Prod_A_2,A,2,1,18,1656,2318
I,Prod_A_2,A,2,1,19,828,290
I,Prod_A_2,A,2,1,20,2484,621
I,Prod_A_2,A,2,1,21,1656,2857
I,Prod_A_2,A,2,1,23,828,662
I,Prod_A_2,A,2,1,24,2608,7494
I,Prod_A_2,A,2,1,25,7949,10350
I,Prod_A_2,A,2,1,28,0,1201
I,Prod_A_2,A,2,1,29,0,2318
I,Prod_A_2,A,2,1,30,828,952
I,Prod_A_2,A,2,1,31,1242,828
I,Prod_A_2,A,2,1,32,1490,26704
I,Prod_A_2,A,2,1,33,3312,11468
I,Prod_A_2,A,2,1,36,828,248
I,Prod_A_2,A,2,1,38,2484,83
