Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
8934,1696,7238,6544,15478,2,3,2,2,5,0,0,0,1,1,1,2,1,1,2,1,1,19,16,2,5,16,1,4,14,1,4,13,21,19,19,5.993161837,2.763513514,5.993161837,5.993161837,5.993161837,0,0,0,4.8404125,2.9042475,1.936165,2.161347222,2.593616667,1.729077778,5.026388889,6.031666667,4.021111111,5.993161837,2.763513514,0.630952381,0.630952381,0.630952381,0.565333333,0.565333333,0.565333333,0.376888889,0.376888889,0.376888889,0.091774892,0.060861244,0.040574163,50.4785705,50
9232,2607,6625,8697,17929,2,3,2,2,4,0,0,0,1,1,1,2,1,1,2,1,1,23,13,1,4,13,1,4,13,1,4,18,20,18,22,6.494344972,4.52027027,6.494344972,6.494344972,6.494344972,0,0,0,4.43046875,2.65828125,1.7721875,1.978298611,2.373958333,1.582638889,4.600694444,5.520833333,3.680555556,6.494344972,4.52027027,1.448333333,1.448333333,1.448333333,0.869,0.869,0.869,0.579333333,0.579333333,0.579333333,0.148125,0.09875,0.053863636,46.83936992,50
16138,13472,2666,241,16379,4,3,3,4,2,0,0,0,2,1,1,2,1,1,2,2,1,23,8,2,6,21,2,4,15,1,2,7,21,20,19,5.043125,0.208128968,5.043125,5.043125,5.043125,0,0,0,0.89144375,1.0697325,0.713155,0.796097222,0.955316667,0.636877778,1.851388889,1.110833333,1.481111111,5.043125,0.208128968,3.818594104,3.818594104,3.818594104,3.368,3.368,3.368,4.582312925,4.582312925,4.582312925,0.729004329,0.459272727,0.322296651,35.92625146,50
9032,69,8963,1898,10930,2,3,2,2,6,0,0,0,2,2,1,3,2,1,2,2,2,14,14,2,4,15,1,4,14,1,4,14,21,19,19,5.645,0.945313492,5.645,5.645,5.645,0,0,0,2.997003125,1.798201875,2.3976025,1.784300926,1.605870833,2.141161111,6.224305556,3.734583333,2.489722222,5.645,0.945313492,0.02875,0.02875,0.02875,0.023,0.023,0.023,0.015333333,0.015333333,0.015333333,0.003733766,0.002476077,0.001650718,51.57600045,50
10893,10460,433,5563,16456,3,3,2,3,1,0,0,0,1,1,1,2,1,1,1,1,1,25,13,2,6,22,1,2,7,1,3,10,20,20,20,5.947965548,2.891372141,5.947965548,5.947965548,5.947965548,0,0,0,0.28956875,0.17374125,0.1158275,0.129298611,0.155158333,0.103438889,0.601388889,0.360833333,0.240555555,5.947965548,2.891372141,2.905555556,2.905555556,2.905555556,5.336734694,5.336734694,5.336734694,2.49047619,2.49047619,2.49047619,0.594318182,0.356590909,0.237727273,36.57170896,50
12797,6427,6370,1767,14564,3,3,2,3,5,0,0,0,1,1,1,2,1,1,2,2,1,20,12,1,2,7,2,6,21,2,4,14,21,23,12,5.332083333,1.026214451,5.332083333,5.332083333,5.332083333,0,0,0,4.2599375,2.5559625,1.703975,1.902152778,2.282583333,1.521722222,4.423611111,2.654166667,3.538888889,5.332083333,1.026214451,5.465136054,5.465136054,5.465136054,1.093027211,1.093027211,1.093027211,1.093027211,1.093027211,1.093027211,0.347781385,0.190523715,0.24344697,41.85160785,50
2912,2517,395,1984,4896,1,5,1,1,1,0,0,0,3,1,2,4,1,2,1,3,3,9,22,3,7,23,1,3,10,1,2,7,20,20,20,5.047758894,0.609336609,5.047758894,5.047758894,5.047758894,0,0,0,0.088052083,0.15849375,0.05283125,0.058975694,0.141541667,0.047180556,0.548611111,0.109722222,0.073148148,5.047758894,0.609336609,0.651397516,0.651397516,0.651397516,0.898928571,0.898928571,0.898928571,0.856122449,0.856122449,0.856122449,0.143011364,0.085806818,0.057204545,36.94171734,50
10089,2728,7361,3705,13794,2,3,2,2,5,0,0,0,2,2,1,2,1,1,3,2,2,16,14,2,5,17,2,5,18,1,2,7,20,20,20,6.305625,1.796602679,6.305625,6.305625,6.305625,0,0,0,2.461334375,1.476800625,1.9690675,2.198076389,2.637691667,1.758461111,3.40787037,3.067083333,2.044722222,6.305625,1.796602679,0.955182073,0.955182073,0.955182073,0.5456,0.5456,0.5456,0.927891156,0.927891156,0.927891156,0.155,0.093,0.062,47.25230499,50
13993,6859,7134,2722,16715,3,3,2,3,5,0,0,0,1,1,1,2,1,1,2,1,1,21,12,2,6,21,1,3,10,1,3,10,21,17,22,6.101575509,1.532657658,6.101575509,6.101575509,6.101575509,0,0,0,4.7708625,2.8625175,1.908345,2.130291667,2.55635,1.704233333,4.954166667,5.945,3.963333333,6.101575509,1.532657658,1.944160998,1.944160998,1.944160998,2.449642857,2.449642857,2.449642857,1.633095238,1.633095238,1.633095238,0.371158009,0.275093583,0.141714876,42.05553791,50
6558,5312,1246,8150,14708,2,3,2,2,1,0,0,0,1,1,1,2,1,1,2,1,1,22,17,1,3,11,1,3,11,2,4,14,21,17,22,5.082787718,3.23926868,5.082787718,5.082787718,5.082787718,0,0,0,0.8332625,0.4999575,0.333305,0.372069444,0.446483333,0.297655556,0.865277778,1.038333333,0.692222222,5.082787718,3.23926868,2.951111111,2.951111111,2.951111111,1.770666667,1.770666667,1.770666667,0.903401361,0.903401361,0.903401361,0.287445887,0.213048128,0.109752066,45.99562368,50
